datetime,Vancouver,Portland,San Francisco,Seattle,Year,ds
2013-09-26,6839.232000000002,6821.011333333001,6923.963000000001,6797.383000000001,2013,2013-09-26 00:00:00
2013-09-27,6823.4349999999995,6823.02,6957.899999999999,6830.305000000001,2013,2013-09-27 00:00:00
2013-09-28,6831.902499999999,6912.636999999997,6956.740499999999,6862.907999999999,2013,2013-09-28 00:00:00
2013-09-29,6824.711,6872.659416666998,6963.311333333,6822.526499999998,2013,2013-09-29 00:00:00
2013-09-30,6807.2345,6843.3575,6982.1807499999995,6808.848249999999,2013,2013-09-30 00:00:00
2013-10-01,6773.391416667002,6779.179099999999,6914.158599999998,6794.647266667,2013,2013-10-01 00:00:00
2013-10-02,6757.80815,6720.2194,6913.8868999999995,6796.885399999999,2013,2013-10-02 00:00:00
2013-10-03,6746.080250000001,6763.996083333,6926.088166667001,6792.2252499999995,2013,2013-10-03 00:00:00
2013-10-04,6770.465000000001,6764.719999999999,7036.564999999999,6786.575,2013,2013-10-04 00:00:00
2013-10-05,6830.611,6827.486999999998,7064.3550000000005,6826.3669999999975,2013,2013-10-05 00:00:00
2013-10-06,6854.838,6816.354999999998,7036.490000000001,6834.825499999997,2013,2013-10-06 00:00:00
2013-10-07,6860.669583333,6825.067,6976.16,6853.897499999999,2013,2013-10-07 00:00:00
2013-10-08,6813.067216667001,6811.139466667,6916.502583333001,6792.845283332998,2013,2013-10-08 00:00:00
2013-10-09,6783.410000000001,6743.897,6915.529999999998,6714.278999999998,2013,2013-10-09 00:00:00
2013-10-10,6799.952,6769.862999999999,6915.155000000001,6761.799999999998,2013,2013-10-10 00:00:00
2013-10-11,6767.676500000001,6780.884000000001,6879.945,6806.555000000002,2013,2013-10-11 00:00:00
2013-10-12,6787.945833333,6786.153033332999,6845.690783333,6793.326499999999,2013,2013-10-12 00:00:00
2013-10-13,6752.985733333001,6730.089,6883.768716666999,6756.5063833330005,2013,2013-10-13 00:00:00
2013-10-14,6746.767000000001,6786.8727,6916.0067,6741.261450000001,2013,2013-10-14 00:00:00
2013-10-15,6775.117166667,6821.639999999999,6964.572500001001,6756.163500000001,2013,2013-10-15 00:00:00
2013-10-16,6781.909999999999,6807.238833333,6979.8835833329995,6775.277083333,2013,2013-10-16 00:00:00
2013-10-17,6772.195500000001,6798.170666667,6990.697333333001,6782.007333333001,2013,2013-10-17 00:00:00
2013-10-18,6754.735000000001,6850.879999999999,6936.674999999999,6754.449999999999,2013,2013-10-18 00:00:00
2013-10-19,6743.489166667,6818.525833332999,6932.402499999998,6741.988833333,2013,2013-10-19 00:00:00
2013-10-20,6767.8298333329985,6801.799833333999,6880.904000001002,6746.775333332998,2013,2013-10-20 00:00:00
2013-10-21,6771.3865,6819.914749999999,6852.062500000001,6745.050499999998,2013,2013-10-21 00:00:00
2013-10-22,6765.902,6899.472249999999,6871.248833333,6774.051499999999,2013,2013-10-22 00:00:00
2013-10-23,6809.477999999998,6802.99925,6858.696583333,6775.379499999998,2013,2013-10-23 00:00:00
2013-10-24,6772.475499999998,6837.356783333001,6819.535449999999,6733.268149999999,2013,2013-10-24 00:00:00
2013-10-25,6773.940333332998,6837.386999999998,6826.164699999999,6760.852833333,2013,2013-10-25 00:00:00
2013-10-26,6819.649499999999,6821.1677,6837.521499999999,6781.1637999999975,2013,2013-10-26 00:00:00
2013-10-27,6792.6505,6750.688749999999,6833.838750000001,6740.549833332999,2013,2013-10-27 00:00:00
2013-10-28,6726.4975,6685.209999999999,6854.285000000001,6736.5975,2013,2013-10-28 00:00:00
2013-10-29,6675.427,6666.0145,6843.352,6702.217499999998,2013,2013-10-29 00:00:00
2013-10-30,6659.877499999999,6648.065,6807.264999999999,6705.215000000001,2013,2013-10-30 00:00:00
2013-10-31,6731.016,6730.962999999999,6824.087999999999,6783.703499999999,2013,2013-10-31 00:00:00
2013-11-01,6739.253999999999,6711.0915,6858.4165,6797.355499999999,2013,2013-11-01 00:00:00
2013-11-02,6735.8155,6767.828,6874.628000000001,6781.5795,2013,2013-11-02 00:00:00
2013-11-03,6630.2475,6690.585000000001,6841.709999999999,6726.084999999999,2013,2013-11-03 00:00:00
2013-11-04,6575.02,6696.282499999998,6843.745000000001,6676.7325,2013,2013-11-04 00:00:00
2013-11-05,6629.6179999999995,6747.430499999999,6879.720999999999,6707.295999999999,2013,2013-11-05 00:00:00
2013-11-06,6685.0105,6772.951,6874.672083333,6734.3166666669995,2013,2013-11-06 00:00:00
2013-11-07,6747.511999999999,6801.349999999998,6913.2,6772.99,2013,2013-11-07 00:00:00
2013-11-08,6757.395000000001,6756.660000000001,6891.77,6777.654999999999,2013,2013-11-08 00:00:00
2013-11-09,6744.31,6713.335000000001,6870.185,6736.1849999999995,2013,2013-11-09 00:00:00
2013-11-10,6723.65,6771.570000000001,6858.0599999999995,6742.349999999999,2013,2013-11-10 00:00:00
2013-11-11,6750.050000000002,6765.379999999999,6844.450000000001,6760.24,2013,2013-11-11 00:00:00
2013-11-12,6782.82,6797.989999999999,6915.539999999998,6789.409999999998,2013,2013-11-12 00:00:00
2013-11-13,6812.959999999999,6796.590000000001,6899.709999999999,6817.46,2013,2013-11-13 00:00:00
2013-11-14,6778.36,6726.302500000002,6859.619999999999,6771.275000000001,2013,2013-11-14 00:00:00
2013-11-15,6720.6900000000005,6718.616500000001,6849.759999999999,6712.220000000001,2013,2013-11-15 00:00:00
2013-11-16,6683.3495,6750.1635,6825.865999999999,6700.605,2013,2013-11-16 00:00:00
2013-11-17,5854.469,5912.697999999999,6016.747500000001,5893.0565,2013,2013-11-17 00:00:00
2013-11-18,6734.375,6866.081499999999,6822.719999999999,6758.72,2013,2013-11-18 00:00:00
2013-11-19,6690.93,6810.884999999999,6847.529999999999,6756.539999999999,2013,2013-11-19 00:00:00
2013-11-20,6598.320000000001,6724.771999999999,6882.210000000001,6633.100999999996,2013,2013-11-20 00:00:00
2013-11-21,6574.52,6939.432,6847.330000000001,6643.471999999997,2013,2013-11-21 00:00:00
2013-11-22,6604.305000000003,6917.463999999999,6892.900000000001,6614.599999999998,2013,2013-11-22 00:00:00
2013-11-23,6635.040000000001,6939.432,6840.130000000001,6644.099999999998,2013,2013-11-23 00:00:00
2013-11-24,6665.82,6895.883499999999,6743.260000000001,6635.419999999999,2013,2013-11-24 00:00:00
2013-11-25,6686.5734999999995,6807.501,6751.780000000001,6609.876,2013,2013-11-25 00:00:00
2013-11-26,6663.209999999999,6716.16,6774.41,6641.200000000001,2013,2013-11-26 00:00:00
2013-11-27,6710.7,6706.127499999999,6792.790000000001,6757.059999999999,2013,2013-11-27 00:00:00
2013-11-28,6700.3275,6699.319999999999,6807.7750000000015,6668.684999999999,2013,2013-11-28 00:00:00
2013-11-29,6741.460000000001,6651.636,6820.0605000000005,6676.9505,2013,2013-11-29 00:00:00
2013-11-30,6731.11,6694.14,6813.42,6734.250000000001,2013,2013-11-30 00:00:00
2013-12-01,6758.519999999999,6787.64,6822.029999999999,6786.4,2013,2013-12-01 00:00:00
2013-12-02,6675.289999999999,6734.279999999999,6824.780000000002,6695.409999999998,2013,2013-12-02 00:00:00
2013-12-03,6595.07,6615.2699999999995,6832.59,6599.92,2013,2013-12-03 00:00:00
2013-12-04,6544.349999999999,6504.425,6707.77,6531.64,2013,2013-12-04 00:00:00
2013-12-05,6510.62,6463.240000000001,6639.78,6470.660000000001,2013,2013-12-05 00:00:00
2013-12-06,6484.72,6466.9,6658.780000000001,6499.255,2013,2013-12-06 00:00:00
2013-12-07,6443.525,6437.655,6727.695000000001,6453.055,2013,2013-12-07 00:00:00
2013-12-08,6451.069999999999,6372.09,6626.9,6425.714999999999,2013,2013-12-08 00:00:00
2013-12-09,6484.544999999999,6391.745499999999,6635.3,6441.667999999999,2013,2013-12-09 00:00:00
2013-12-10,6539.125,6517.62,6647.78,6553.46,2013,2013-12-10 00:00:00
2013-12-11,6590.93,6529.36,6695.759999999999,6562.7750000000015,2013,2013-12-11 00:00:00
2013-12-12,6602.235,6540.090999999998,6731.009500000002,6579.568499999998,2013,2013-12-12 00:00:00
2013-12-13,6663.485999999999,6639.694999999999,6688.210000000002,6685.839999999997,2013,2013-12-13 00:00:00
2013-12-14,6694.395,6682.414499999999,6758.3,6724.899999999998,2013,2013-12-14 00:00:00
2013-12-15,6735.984999999999,6669.983999999998,6742.37,6743.559999999998,2013,2013-12-15 00:00:00
2013-12-16,6679.771000000002,6680.098999999999,6830.779,6729.057500000002,2013,2013-12-16 00:00:00
2013-12-17,6643.495,6632.940000000001,6824.315000000001,6655.215,2013,2013-12-17 00:00:00
2013-12-18,6674.047999999998,6623.525,6815.875000000001,6686.435,2013,2013-12-18 00:00:00
2013-12-19,6617.554500000002,6661.596500000001,6851.9884999999995,6653.2165,2013,2013-12-19 00:00:00
2013-12-20,6547.476500000002,6571.434999999999,6778.525,6565.985000000002,2013,2013-12-20 00:00:00
2013-12-21,6585.708499999998,6717.96,6789.49,6658.66,2013,2013-12-21 00:00:00
2013-12-22,6611.5755,6754.29,6810.794,6717.39,2013,2013-12-22 00:00:00
2013-12-23,6700.399000000001,6766.37,6809.105,6770.324999999998,2013,2013-12-23 00:00:00
2013-12-24,6679.0185,6627.155000000002,6834.204999999999,6682.575000000001,2013,2013-12-24 00:00:00
2013-12-25,6620.366,6604.54,6835.455,6600.22,2013,2013-12-25 00:00:00
2013-12-26,6666.459500000001,6582.6615,6827.5615,6609.9299999999985,2013,2013-12-26 00:00:00
2013-12-27,6671.385499999999,6572.39,6814.92,6619.739999999999,2013,2013-12-27 00:00:00
2013-12-28,6685.112000000002,6626.01,6789.734999999998,6697.036499999999,2013,2013-12-28 00:00:00
2013-12-29,6668.654999999998,6635.080000000001,6843.130000000001,6642.4,2013,2013-12-29 00:00:00
2013-12-30,6683.497,6629.094999999999,6803.024999999999,6653.760000000002,2013,2013-12-30 00:00:00
2013-12-31,6702.0315,6654.015,6762.469999999999,6700.171,2013,2013-12-31 00:00:00
2014-01-01,6681.343,6682.9800000000005,6778.360000000001,6662.360000000001,2014,2014-01-01 00:00:00
2014-01-02,6706.7295,6677.322499999999,6835.2875,6716.472500000001,2014,2014-01-02 00:00:00
2014-01-03,6676.85,6673.560000000001,6833.37,6693.4349999999995,2014,2014-01-03 00:00:00
2014-01-04,6607.1045,6601.6699250209995,6816.959925021001,6622.279930575,2014,2014-01-04 00:00:00
2014-01-05,6573.2495,6581.6849999999995,6851.194999999999,6576.15,2014,2014-01-05 00:00:00
2014-01-06,6566.371999999999,6656.900000000002,6813.0199999999995,6598.140000000001,2014,2014-01-06 00:00:00
2014-01-07,6635.154500000001,6657.739999999999,6822.899999999999,6670.370000000001,2014,2014-01-07 00:00:00
2014-01-08,6697.7845,6736.8995,6832.2095,6728.412499999999,2014,2014-01-08 00:00:00
2014-01-09,6693.7455,6715.7035,6819.469999999999,6708.769999999999,2014,2014-01-09 00:00:00
2014-01-10,6684.287000000001,6766.951499999999,6806.98,6735.524999999999,2014,2014-01-10 00:00:00
2014-01-11,6717.8975,6807.268180782999,6796.689708414001,6752.4180000000015,2014,2014-01-11 00:00:00
2014-01-12,6686.905,6731.113000000001,6784.229999999999,6702.415000000001,2014,2014-01-12 00:00:00
2014-01-13,6726.187499999999,6786.3150000000005,6838.375000000002,6780.25,2014,2014-01-13 00:00:00
2014-01-14,6783.255825465998,6754.700166758999,6872.414665647999,6763.199999999999,2014,2014-01-14 00:00:00
2014-01-15,6736.9880166620005,6665.67505554,6872.815169397,6723.664986115,2014,2014-01-15 00:00:00
2014-01-16,6662.4895000000015,6628.669999999999,6902.2919999999995,6676.5599999999995,2014,2014-01-16 00:00:00
2014-01-17,6829.942136211999,6846.11504346,6982.246531102001,6831.952205359003,2014,2014-01-17 00:00:00
